 점포명 지역명 시 구 이하주소 지도
☆ 롯데마트 상무점 (광주광역시 서구 치평동 http://naver.me/xMkxQROw)

☆ 롯데마트 수완점 (광주광역시 광산구 장덕동 http://naver.me/GGVCZLCl)

☆ 롯데마트 첨단점 (광주광역시 광산구 쌍암동 http://naver.me/FfpAovX2)


☆ 이마트 광주점 (광주광역시 서구 화정동 http://naver.me/5azs5Gen)

☆ 이마트 봉선점 (광주광역시 남구 봉선동 http://naver.me/GF2CaP2a)

☆ 이마트 상무점 (광주광역시 서구 치평동 http://naver.me/G8QQqyD9)

☆ 홈플러스 광주하남점 (광주광역시 광산구 하남동 http://naver.me/5CzpFH4y)

☆ 가챠샵 광주수완점 (광주광역시 광산구 수완동 http://naver.me/FFkFFhfU)
