 점포명 지역명 시 이하주소 이하주소2 지도
☆ 롯데마트 서대전점 (대전광역시 유성구 원내동 http://naver.me/FnYsVqFQ)

☆ 이마트 대전터미널점 (대전광역시 동구 용전동 http://naver.me/51cIRv1A)
☆ 이마트 둔산점 (대전광역시 서구 둔산동 http://naver.me/G8afhjLk)

☆ 더벙커게임존 대전 (대전광역시 유성구 봉명동 http://naver.me/Fpp5OcNv)
☆ 가오스게임장 대전 (대전광역시 중구 은행동 http://naver.me/FWJv918K)
