 점포명 지역명 시 구 이하주소 지도
☆ 롯데마트 진장점 (울산광역시 북구 진장동 http://naver.me/xUmZwd08)


☆ 이마트 울산점 (울산광역시 남구 삼산동 http://naver.me/G8a53a5h)


☆ 가챠샵 울산성남점 (울산광역시 중구 성남동 http://naver.me/x2IYjbYA)
☆ 코믹프라자 울산점 (울산광역시 신정동 1093-10 http://naver.me/GFp6eHoY)
