 점포명 지역명 도 시 이하주소1 이하주소2 지도
☆ 롯데마트 서청주점 (충청북도 청주시 흥덕구 비하동 http://naver.me/5VJ8iNwU)
☆ 롯데마트 상당점 (충청북도 청주시 상당구 용암동 http://naver.me/5zCUXqd9)
☆ 롯데마트 충주점 (충청북도 충주시 칠금동  http://naver.me/xB2idSGL)
☆ 롯데마트 제천점 (충청북도 제천시 하소동  http://naver.me/FdslwUpY)

☆ 이마트 제천점 (충청북도 제천시 강제동  http://naver.me/xplqijgE)
☆ 이마트 충주점 (충청북도 충주시 문화동  http://naver.me/F7NI5S2V)
☆ 이마트 청주점 (충청북도 청주시 서원구 미평동 http://naver.me/FPb3XraS)

☆ 홈플러스 오창점 (충청북도 청주시 청원구  http://naver.me/GAi1smv6)

☆ 토마토 청주점 (충청북도 청주시 상당구 서문동 http://naver.me/xzciALT4)
☆ 호창휴게소 하행선 (충청북도 청주시 청원구 오창읍 http://naver.me/5fnjnjLN)
