부산 중구 중앙대로 2
부산 동래구 중앙대로 1393
부산 사상구 낙동대로 733
부산 북구 화명대로 47 롯데쇼핑(주)롯데마트화명점
부산 기장군 기장읍 기장해안로 147
부산 중구 중앙대로 2 롯데백화점광복점
부산 금정구 중앙대로1841번길 24
부산 연제구 연수로 89
부산 기장군 장안읍 정관로 1133
부산 부산진구 가야대로 506
부산 연제구 반송로 88
부산 기장군 정관읍 정관5로 50 정관 홈플러스
부산 해운대구 센텀동로 6 홈플러스센텀시티점
부산 연제구 종합운동장로 7 부산아시아드주경기장노외주차장
부산 해운대구 해운대해변로 140 해운대홈플러스
부산 동래구 중앙대로 1523 SK HUB SKY
부산 부산진구 동천로 4 지오플레이스
부산 해운대구 선수촌로21번길 37
부산 남구 수영로298번길 10
부산 부산진구 중앙대로702번길 23
부산 북구 금곡대로 469
부산 부산진구 중앙대로 672
부산 강서구 명지오션시티4로 68
부산 해운대구 해운대로 813 NC백화점해운대점
부산 금정구 부산대학로63번길 2 NC백화점부산대점
부산 남구 분포로 145 더블유
부산 동구 범일로 125 현대백화점부산점
