경기 김포시 김포한강2로 41
경기 남양주시 와부읍 월문천로 33 롯데마트 덕소점
경기 동두천시 평화로2169번길 21
경기 남양주시 화도읍 경춘로 1992
경기 수원시 권선구 세화로 134 롯데마트수원점
경기 시흥시 비둘기공원로 28
경기 시흥시 서울대학로278번길 67
경기 안산시 상록구 항가울로 422
경기 안성시 공도읍 서동대로 4478
경기 의왕시 계원대학로 7 롯데마트의왕점
경기 고양시 일산서구 중앙로 1496 문촌마을
경기 안양시 동안구 시민대로 180 롯데백화점평촌점
경기 이천시 구만리로 191
경기 용인시 수지구 수지로 203
경기 이천시 호법면 프리미엄아울렛로 177-74
경기 광주시 광주대로 30 광주터미널 이프라자
경기 과천시 별양상가3로 11
경기 광명시 소하로 97
경기 김포시 김포한강7로 71 이마트 김포한강점
경기 남양주시 늘을2로 27 E-MART
경기 용인시 기흥구 동백죽전대로 444 쥬네브썬월드빌딩
경기 화성시 동탄중앙로 376 화성 동탄 E-Mart
경기 남양주시 순화궁로 167
경기 용인시 기흥구 한보라1로 92 보라지구E-MART
경기 성남시 분당구 불정로 134
경기 군포시 산본로 347 신세계산본점
경기 수원시 권선구 수인로 291 서수원버스터미널
경기 수원시 권선구 경수대로 270 주차빌딩
경기 용인시 수지구 수지로 203 이마트수지점
경기 안성시 중앙로 246 안성E-MART
경기 양주시 평화로 1713 이마트
경기 여주시 세종로 151
경기 용인시 처인구 명지로 53 E마트
경기 고양시 일산동구 중앙로 1124 흰돌마을
경기 용인시 수지구 포은대로 552 이마트죽전점
경기 남양주시 진접읍 금강로유연들1길 154 진접이마트
경기 파주시 당하길 10 이마트
경기 평택시 영신로 29 이마트
경기 안양시 동안구 시민대로 300 이마트평촌점
경기 포천시 호국로 915
경기 고양시 일산동구 무궁화로 237 이마트풍산점
경기 하남시 덕풍서로 70 하남풍산지구E-MART
경기 화성시 봉담읍 효행로 278
경기 용인시 기흥구 흥덕중앙로 60
경기 부천시 부천로 1 부천역사 쇼핑몰
경기 의정부시 민락로 210 이마트
경기 의왕시 경수대로 262 지하1~2층
경기 하남시 미사대로 750 스타필드 하남
경기 안성시 공도읍 서동대로 3930-39 스타필드 안성점 2층
경기 하남시 하남대로 747
경기 고양시 일산동구 중앙로 1036 고양터미널점 B2
경기 김포시 풍무로 167
경기 수원시 장안구 경수대로 930
경기 안산시 단원구 광덕대로 175 홈플러스
경기 안산시 단원구 삼일로 316 홈플러스
서울 금천구 시흥대로 201 홈플러스시흥점
경기 고양시 일산서구 호수로 817
경기 파주시 문산읍 방촌로 1759
경기 의정부시 청사로 38
경기 평택시 경기대로 1103 홈플러스
경기 김포시 중봉로 14
경기 부천시 경인로 532
경기 포천시 소흘읍 솔모루로 9
경기 시흥시 희망공원로 269 홈플러스시화점
경기 남양주시 진접읍 금강로 1447 홈플러스
경기 화성시 향남읍 향남로 402 홈플러스 화성향남점
경기도 부천시 부천로3번길 45
경기 성남시 수정구 수정로 150
경기 수원시 팔달구 인계로 154
경기 광주시 순암로 169
경기 안양시 만안구 안양로 275 2001아울렛
경기 오산시 문시로 109-12
경기 용인시 기흥구 신고매로 124
경기 성남시 분당구 분당로 55 분당 퍼스트타워 지하 1층
경기 의정부시 평화로 525 신세계백화점의정부점 1F
경기 파주시 교하로 961-16
경기 성남시 수정구 창업로 17 C2동 B107호
경기 구리시 동구릉로136번길 57 구리유통종합상가
경기 부천시 옥길로 1
