index	상호명	지점명	주소
0	롯데마트	당진점	충남 당진시 정안로 20
1	롯데마트	서산점	충남 서산시 충의로 27
2	롯데마트	성정점	충남 천안시 서북구 성정두정로 1
3	롯데마트	아산터미널점	충남 아산시 번영로 225
4	롯데마트	홍성점	충남 홍성군 홍성읍 조양로247번길 9
5	이마트	보령점	충남 보령시 해안로 25
6	이마트	서산점	충남 서산시 서해로 3685
7	이마트	아산점	충남 아산시 온천대로 1678
8	이마트	천안서북점	충남 천안시 서북구 삼성대로 20
9	이마트	천안터미널점	충남 천안시 동남구 만남로 43
10	이마트	펜타포트점	충남 천안시 서북구 공원로 196
11	홈플러스	천안신방점	충남 천안시 동남구 신촌1길 23
12	홈플러스	보령점	충남 보령시 명암1길 17
13	홈플러스	천안점	충남 천안시 동남구 천안대로 574
14	가챠샵	공주점	충남 공주시 공주대학로 81
