index	상호명	지점명	주소
0	롯데마트	진장점	울산 북구 진장유통로 64
1	이마트	울산점	울산 남구 남중로 48
2	가챠샵	울산성남점	울산 중구 젊음의 거리 76
3	가챠샵	언양점	울산 울주군 삼남읍 교동로 133-1 2층
4	코믹프라자	울산점	울산 남구 수암로 10-10 2층
