index	상호명	지점명	주소
0	롯데마트	군산점	전북 군산시 수송로 185
1	롯데마트	익산점	전북 익산시 무왕로 1053
2	롯데마트	정읍점	전북 정읍시 벚꽃로 85
3	이마트	군산점	전북 군산시 구암3.1로 137
4	이마트	남원점	전북 남원시 남문로 385-16
5	이마트	전주점	전북 전주시 완산구 당산로 111
6	이마트	에코시티점	전북 전주시 덕진구 세병서로 9
7	홈플러스	김제점	전북 김제시 금성로 114
8	홈플러스	전주효자점	전북 전주시 완산구 용머리로 31
9	가챠샵	전주점	전북 전주시 완산구 팔달로 201-6
