index	상호명	지점명	주소
0	롯데마트	서대전점	대전 유성구 유성대로 26-37
1	이마트	대전터미널점	대전 동구 동서대로 1689
2	이마트	둔산점	대전 서구 둔산북로 41
3	더벙커게임존	대전	대전 유성구 대학로 34 노블레스타워 지하1층
4	가오스게임장	대전	대전 중구 중앙로164번길 22-12
