index	상호명	지점명	주소
0	롯데마트	제주점	제주특별자치도 제주시 연북로 1
1	이마트	제주점	제주특별자치도 제주시 탑동로 38
2	토이마켓	제주점	제주특별자치도 제주시 동문로 192
3	해비치리조트	제주	제주특별자치도 서귀포시 표선면 민속해안로 537
