index	상호명	지점명	주소
0	롯데마트	상무점	광주 서구 시청로 40
1	롯데마트	수완점	광주 광산구 장신로 98
2	롯데마트	첨단점	광주 광산구 첨단강변로99번길 22
3	이마트	광주점	광주 서구 죽봉대로 61
4	이마트	봉선점	광주 남구 봉선로 198
6	홈플러스	광주하남점	광주 광산구 용아로 390
7	가챠샵	광주수완점	광주시 광산구 임방울대로 358번길 28
