Name,roadAddress,Lat,Lag,Memo,jibunAddress
이름(string),도로명주소(string),위도(float),경도(float),메모(string),구 지번주소(string)
아이파크몰,서울 용산구 한강대로23길 55,37.529503938486904,126.96554486929178,그 용산,한강로3가 40-999
